Frame,Time,LinearDisplacement1,LinearDisplacement2,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
113,0.900,1.8585E+02,1.1605E+02,2.9963E-04,2.4551E-02,-1.2719E+02,-1.2719E+02
114,0.910,1.8641E+02,1.1661E+02,3.5065E-04,-1.0335E-02,-1.2864E+02,-1.2864E+02
115,0.920,1.8695E+02,1.1715E+02,3.3064E-04,1.6213E-03,-1.2996E+02,-1.2996E+02
116,0.920,1.8697E+02,1.1718E+02,3.3453E-04,-1.2727E-02,-1.3040E+02,-1.3040E+02
117,0.930,1.8754E+02,1.1775E+02,1.8431E-04,1.9779E-01,-1.3191E+02,-1.3191E+02
118,0.940,1.8812E+02,1.1833E+02,3.5911E-05,-3.0947E-04,-1.3320E+02,-1.3320E+02
119,0.950,1.8870E+02,1.1891E+02,8.8425E-08,-1.9822E-03,-1.3446E+02,-1.3446E+02
120,0.960,1.8926E+02,1.1947E+02,6.7165E-05,1.2218E-03,-1.3578E+02,-1.3578E+02
121,0.960,1.8929E+02,1.1950E+02,1.7618E-04,1.5953E-02,-1.3570E+02,-1.3570E+02
122,0.970,1.8989E+02,1.2010E+02,2.6412E-04,1.2389E-01,-1.3762E+02,-1.3762E+02
123,0.980,1.9049E+02,1.2070E+02,1.0660E-04,-2.4067E-02,-1.3888E+02,-1.3888E+02
124,0.990,1.9109E+02,1.2131E+02,9.9172E-05,-3.5762E-03,-1.4005E+02,-1.4005E+02
125,1.000,1.9168E+02,1.2189E+02,3.2608E-04,-9.6146E-02,-1.4127E+02,-1.4103E+02
126,1.001,1.9171E+02,1.2192E+02,3.1152E-04,-1.2415E-01,-1.4195E+02,-1.4163E+02
127,1.011,1.9233E+02,1.2254E+02,4.2070E-05,-1.1796E+00,-1.4312E+02,-1.4014E+02
128,1.021,1.9294E+02,1.2316E+02,3.0421E-04,-2.2775E+00,-1.4427E+02,-1.3847E+02
129,1.031,1.9356E+02,1.2378E+02,2.6471E-05,-3.2509E+00,-1.4615E+02,-1.3750E+02
130,1.040,1.9414E+02,1.2436E+02,1.2551E-04,-4.0983E+00,-1.4747E+02,-1.3613E+02
