Frame,Time,LinearDisplacement3,LinearDisplacement4,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
99,0.863,4.8229E+03,5.4205E+03,3.4836E+01,-3.4590E-02,-1.4170E+02,-1.6416E+02
100,0.873,4.8182E+03,5.4272E+03,3.4962E+01,2.7994E-01,-1.4313E+02,-1.6391E+02
101,0.880,4.8150E+03,5.4318E+03,3.5041E+01,3.0863E-02,-1.4410E+02,-1.6375E+02
102,0.884,4.8133E+03,5.4342E+03,3.5082E+01,-1.2011E-01,-1.4462E+02,-1.6367E+02
103,0.894,4.8085E+03,5.4410E+03,3.5188E+01,-1.0551E-02,-1.4607E+02,-1.6345E+02
104,0.904,4.8037E+03,5.4478E+03,3.5285E+01,-6.0777E-02,-1.4754E+02,-1.6326E+02
105,0.914,4.7988E+03,5.4547E+03,3.5372E+01,2.0548E-01,-1.4902E+02,-1.6308E+02
106,0.920,4.7958E+03,5.4589E+03,3.5421E+01,-4.3842E-02,-1.4994E+02,-1.6298E+02
107,0.924,4.7940E+03,5.4615E+03,3.5449E+01,3.1027E-02,-1.5051E+02,-1.6293E+02
108,0.934,4.7889E+03,5.4686E+03,3.5518E+01,-8.1116E-02,-1.5205E+02,-1.6279E+02
109,0.944,4.7838E+03,5.4757E+03,3.5578E+01,-1.7347E-01,-1.5361E+02,-1.6266E+02
110,0.954,4.7788E+03,5.4827E+03,3.5626E+01,7.3115E-02,-1.5516E+02,-1.6257E+02
111,0.960,4.7760E+03,5.4866E+03,3.5649E+01,4.0354E-02,-1.5602E+02,-1.6252E+02
112,0.964,4.7738E+03,5.4897E+03,3.5665E+01,-3.1817E-02,-1.5671E+02,-1.6249E+02
113,0.974,4.7688E+03,5.4967E+03,3.5694E+01,2.1586E-01,-1.5828E+02,-1.6243E+02
114,0.985,4.7637E+03,5.5038E+03,3.5713E+01,5.2048E-01,-1.5988E+02,-1.6239E+02
115,0.995,4.7586E+03,5.5109E+03,3.5723E+01,-5.6378E-03,-1.6148E+02,-1.6237E+02
116,1.000,4.7558E+03,5.5147E+03,3.5715E+01,3.4696E+00,-1.6222E+02,-1.2179E+02
117,1.005,4.7535E+03,5.5180E+03,3.5680E+01,4.3535E+00,-1.6226E+02,-8.7820E+01
118,1.015,4.7484E+03,5.5252E+03,3.5570E+01,5.7613E+00,-1.6207E+02,-8.1340E+01
119,1.025,4.7436E+03,5.5322E+03,3.5396E+01,5.7203E+00,-1.6200E+02,-8.1517E+01
120,1.035,4.7390E+03,5.5388E+03,3.5174E+01,5.8523E+00,-1.6204E+02,-8.1741E+01
121,1.040,4.7369E+03,5.5418E+03,3.5046E+01,6.3775E+00,-1.6210E+02,-8.1869E+01
122,1.045,4.7346E+03,5.5451E+03,3.4887E+01,6.5307E+00,-1.6220E+02,-8.2028E+01
123,1.056,4.7302E+03,5.5515E+03,3.4530E+01,6.9612E+00,-1.6247E+02,-8.2383E+01
124,1.068,4.7253E+03,5.5587E+03,3.4044E+01,7.8710E+00,-1.6291E+02,-8.2861E+01
125,1.078,4.7214E+03,5.5645E+03,3.3585E+01,5.9849E+00,-1.6337E+02,-8.3306E+01
126,1.080,4.7206E+03,5.5657E+03,3.3488E+01,5.4411E+00,-1.6346E+02,-8.3400E+01
127,1.088,4.7177E+03,5.5702E+03,3.3131E+01,3.4797E+00,-1.6380E+02,-8.3742E+01
128,1.098,4.7141E+03,5.5757E+03,3.2679E+01,9.9047E-01,-1.6422E+02,-8.4171E+01
129,1.108,4.7107E+03,5.5812E+03,3.2229E+01,-1.5531E+00,-1.6462E+02,-8.4592E+01
130,1.118,4.7073E+03,5.5866E+03,3.1778E+01,-4.0948E+00,-1.6500E+02,-8.5009E+01
131,1.120,4.7067E+03,5.5876E+03,3.1689E+01,-4.6027E+00,-1.6508E+02,-8.5091E+01
132,1.128,4.7041E+03,5.5918E+03,3.1333E+01,-6.6248E+00,-1.6536E+02,-8.5416E+01
133,1.138,4.7010E+03,5.5969E+03,3.0888E+01,-9.3257E+00,-1.6571E+02,-8.5817E+01
134,1.148,4.6981E+03,5.6019E+03,3.0448E+01,-1.1949E+01,-1.6603E+02,-8.6209E+01
135,1.158,4.6953E+03,5.6068E+03,3.0010E+01,-1.4625E+01,-1.6634E+02,-8.6593E+01
136,1.160,4.6947E+03,5.6077E+03,2.9928E+01,-1.5125E+01,-1.6640E+02,-8.6665E+01
137,1.168,4.6925E+03,5.6115E+03,2.9575E+01,-1.7307E+01,-1.6663E+02,-8.6971E+01
138,1.183,4.6883E+03,5.6190E+03,2.8918E+01,-7.2868E+00,-1.6704E+02,-8.7531E+01
139,1.194,4.6852E+03,5.6246E+03,2.8447E+01,-4.8572E+00,-1.6732E+02,-8.7925E+01
140,1.200,4.6835E+03,5.6277E+03,2.8197E+01,1.0537E+00,-1.6745E+02,-8.8133E+01
141,1.205,4.6822E+03,5.6302E+03,2.8003E+01,1.6733E+00,-1.6755E+02,-8.8292E+01
142,1.215,4.6793E+03,5.6358E+03,2.7578E+01,-5.8217E-02,-1.6777E+02,-8.8638E+01
143,1.225,4.6763E+03,5.6415E+03,2.7151E+01,-5.6139E-03,-1.6796E+02,-8.8981E+01
144,1.235,4.6734E+03,5.6471E+03,2.6732E+01,-1.3349E-02,-1.6814E+02,-8.9312E+01
145,1.240,4.6719E+03,5.6501E+03,2.6511E+01,-1.4912E-02,-1.6823E+02,-8.9485E+01
146,1.245,4.6706E+03,5.6527E+03,2.6314E+01,4.8493E-02,-1.6831E+02,-8.9638E+01
147,1.255,4.6679E+03,5.6584E+03,2.5900E+01,-4.2906E-03,-1.6846E+02,-8.9956E+01
148,1.265,4.6651E+03,5.6641E+03,2.5481E+01,-3.5971E-03,-1.6859E+02,-9.0273E+01
149,1.275,4.6624E+03,5.6698E+03,2.5071E+01,4.6219E-03,-1.6871E+02,-9.0578E+01
150,1.280,4.6611E+03,5.6727E+03,2.4863E+01,-2.9239E-03,-1.6876E+02,-9.0732E+01
151,1.285,4.6598E+03,5.6756E+03,2.4661E+01,-5.7291E-03,-1.6881E+02,-9.0879E+01
152,1.295,4.6572E+03,5.6812E+03,2.4256E+01,2.0078E-02,-1.6890E+02,-9.1172E+01
153,1.305,4.6546E+03,5.6869E+03,2.3853E+01,7.3927E-03,-1.6897E+02,-9.1459E+01
154,1.315,4.6521E+03,5.6927E+03,2.3449E+01,-2.8325E-02,-1.6903E+02,-9.1741E+01
155,1.320,4.6509E+03,5.6955E+03,2.3253E+01,1.7734E-04,-1.6905E+02,-9.1877E+01
156,1.325,4.6496E+03,5.6985E+03,2.3047E+01,-7.0823E-02,-1.6907E+02,-9.2018E+01
157,1.335,4.6472E+03,5.7042E+03,2.2649E+01,-4.2162E-02,-1.6911E+02,-9.2288E+01
158,1.345,4.6448E+03,5.7100E+03,2.2255E+01,-3.3043E-03,-1.6912E+02,-9.2551E+01
159,1.355,4.6425E+03,5.7157E+03,2.1864E+01,-3.8949E-03,-1.6913E+02,-9.2807E+01
160,1.360,4.6414E+03,5.7184E+03,2.1681E+01,3.6101E-02,-1.6912E+02,-9.2925E+01
161,1.365,4.6402E+03,5.7215E+03,2.1475E+01,1.4845E-02,-1.6912E+02,-9.3058E+01
162,1.375,4.6380E+03,5.7272E+03,2.1089E+01,-2.0856E-03,-1.6910E+02,-9.3302E+01
163,1.385,4.6358E+03,5.7330E+03,2.0704E+01,-3.1475E-04,-1.6906E+02,-9.3542E+01
164,1.395,4.6336E+03,5.7388E+03,2.0322E+01,-4.6662E-03,-1.6901E+02,-9.3775E+01
165,1.400,4.6327E+03,5.7414E+03,2.0147E+01,-1.6240E-02,-1.6899E+02,-9.3881E+01
166,1.405,4.6315E+03,5.7445E+03,1.9942E+01,2.3564E-02,-1.6895E+02,-9.4004E+01
167,1.415,4.6294E+03,5.7503E+03,1.9565E+01,-5.7002E-03,-1.6888E+02,-9.4226E+01
168,1.426,4.6274E+03,5.7561E+03,1.9187E+01,-6.6208E-02,-1.6879E+02,-9.4445E+01
169,1.436,4.6254E+03,5.7620E+03,1.8811E+01,-9.2775E-03,-1.6870E+02,-9.4659E+01
170,1.440,4.6245E+03,5.7644E+03,1.8651E+01,1.7652E-02,-1.6865E+02,-9.4748E+01
171,1.446,4.6234E+03,5.7677E+03,1.8441E+01,-1.4826E-05,-1.6859E+02,-9.4865E+01
172,1.456,4.6215E+03,5.7735E+03,1.8073E+01,2.4791E-02,-1.6847E+02,-9.5066E+01
173,1.466,4.6197E+03,5.7793E+03,1.7709E+01,1.9823E-04,-1.6834E+02,-9.5261E+01
174,1.476,4.6178E+03,5.7851E+03,1.7345E+01,-4.8330E-03,-1.6820E+02,-9.5453E+01
175,1.480,4.6171E+03,5.7875E+03,1.7193E+01,4.9540E-03,-1.6814E+02,-9.5532E+01
176,1.486,4.6161E+03,5.7909E+03,1.6985E+01,-1.3185E-02,-1.6805E+02,-9.5638E+01
177,1.496,4.6143E+03,5.7966E+03,1.6628E+01,6.2186E-01,-1.6788E+02,-8.6441E+01
178,1.506,4.6126E+03,5.8025E+03,1.6204E+01,6.6674E+00,-1.6688E+02,9.7929E-07
179,1.516,4.6110E+03,5.8081E+03,1.5730E+01,7.9136E+00,-1.6534E+02,-1.7322E-06
180,1.520,4.6105E+03,5.8102E+03,1.5534E+01,8.2638E+00,-1.6475E+02,0.0000E+00
181,1.526,4.6096E+03,5.8134E+03,1.5201E+01,8.9653E+00,-1.6382E+02,2.1373E-08
182,1.536,4.6082E+03,5.8184E+03,1.4619E+01,1.0101E+01,-1.6233E+02,7.9519E-09
183,1.546,4.6070E+03,5.8232E+03,1.3985E+01,1.1224E+01,-1.6084E+02,7.0223E-09
184,1.556,4.6059E+03,5.8278E+03,1.3299E+01,1.2350E+01,-1.5936E+02,-2.2426E-09
185,1.560,4.6056E+03,5.8294E+03,1.3028E+01,1.2769E+01,-1.5880E+02,0.0000E+00
186,1.566,4.6050E+03,5.8320E+03,1.2561E+01,1.3451E+01,-1.5788E+02,1.1570E-08
187,1.576,4.6041E+03,5.8361E+03,1.1799E+01,1.1151E+01,-1.5637E+02,5.6407E-09
188,1.586,4.6033E+03,5.8400E+03,1.1045E+01,8.6325E+00,-1.5482E+02,1.7722E-08
189,1.596,4.6026E+03,5.8438E+03,1.0303E+01,6.1320E+00,-1.5323E+02,-4.2448E-09
190,1.600,4.6024E+03,5.8451E+03,1.0031E+01,5.2070E+00,-1.5263E+02,-1.5903E-15
191,1.606,4.6020E+03,5.8474E+03,9.5686E+00,3.6186E+00,-1.5160E+02,-1.0452E-08
