time,leftV,rightV
2.639,-1.80680680680681,-7.55455455455455
2.64,-1.8018018018018,-7.55855855855856
2.641,-1.7967967967968,-7.56256256256256
2.642,-1.79179179179179,-7.56656656656657
2.643,-1.78678678678679,-7.57057057057057
2.644,-1.78178178178178,-7.57457457457457
2.645,-1.77677677677678,-7.57857857857858
2.646,-1.77177177177177,-7.58258258258258
2.647,-1.76676676676677,-7.58658658658659
2.648,-1.76176176176176,-7.59059059059059
2.649,-1.75675675675676,-7.59459459459459
2.65,-1.75175175175175,-7.5985985985986
2.651,-1.74674674674675,-7.6026026026026
2.652,-1.74174174174174,-7.60660660660661
2.653,-1.73673673673674,-7.61061061061061
2.654,-1.73173173173173,-7.61461461461461
2.655,-1.72672672672673,-7.61861861861862
2.656,-1.72172172172172,-7.62262262262262
2.657,-1.71671671671672,-7.62662662662663
2.658,-1.71171171171171,-7.63063063063063
2.659,-1.70670670670671,-7.63463463463463
2.66,-1.7017017017017,-7.63863863863864
2.661,-1.6966966966967,-7.64264264264264
2.662,-1.69169169169169,-7.64664664664665
2.663,-1.68668668668669,-7.65065065065065
2.664,-1.68168168168168,-7.65465465465465
2.665,-1.67667667667668,-7.65865865865866
2.666,-1.67167167167167,-7.66266266266266
2.667,-1.66666666666667,-7.66666666666667
2.668,-1.66166166166166,-7.67067067067067
2.669,-1.65665665665666,-7.67467467467467
2.67,-1.65165165165165,-7.67867867867868
2.671,-1.64664664664665,-7.68268268268268
2.672,-1.64164164164164,-7.68668668668669
2.673,-1.63663663663664,-7.69069069069069
2.674,-1.63163163163163,-7.69469469469469
2.675,-1.62662662662663,-7.6986986986987
2.676,-1.62162162162162,-7.7027027027027
2.677,-1.61661661661662,-7.70670670670671
2.678,-1.61161161161161,-7.71071071071071
2.679,-1.60660660660661,-7.71471471471471
2.68,-1.6016016016016,-7.71871871871872
2.681,-1.5965965965966,-7.72272272272272
2.682,-1.59159159159159,-7.72672672672673
2.683,-1.58658658658659,-7.73073073073073
2.684,-1.58158158158158,-7.73473473473473
2.685,-1.57657657657658,-7.73873873873874
2.686,-1.57157157157157,-7.74274274274274
2.687,-1.56656656656657,-7.74674674674675
2.688,-1.56156156156156,-7.75075075075075
2.689,-1.55655655655656,-7.75475475475475
2.69,-1.55155155155155,-7.75875875875876
2.691,-1.54654654654655,-7.76276276276276
2.692,-1.54154154154154,-7.76676676676677
2.693,-1.53653653653654,-7.77077077077077
2.694,-1.53153153153153,-7.77477477477477
2.695,-1.52652652652653,-7.77877877877878
2.696,-1.52152152152152,-7.78278278278278
2.697,-1.51651651651652,-7.78678678678679
2.698,-1.51151151151151,-7.79079079079079
2.699,-1.50650650650651,-7.79479479479479
2.7,-1.5015015015015,-7.7987987987988
2.701,-1.4964964964965,-7.8028028028028
2.702,-1.49149149149149,-7.80680680680681
2.703,-1.48648648648649,-7.81081081081081
2.704,-1.48148148148148,-7.81481481481481
2.705,-1.47647647647648,-7.81881881881882
2.706,-1.47147147147147,-7.82282282282282
2.707,-1.46646646646647,-7.82682682682683
2.708,-1.46146146146146,-7.83083083083083
2.709,-1.45645645645646,-7.83483483483483
2.71,-1.45145145145145,-7.83883883883884
2.711,-1.44644644644645,-7.84284284284284
2.712,-1.44144144144144,-7.84684684684685
2.713,-1.43643643643644,-7.85085085085085
2.714,-1.43143143143143,-7.85485485485485
2.715,-1.42642642642643,-7.85885885885886
2.716,-1.42142142142142,-7.86286286286286
2.717,-1.41641641641642,-7.86686686686687
2.718,-1.41141141141141,-7.87087087087087
2.719,-1.40640640640641,-7.87487487487487
2.72,-1.4014014014014,-7.87887887887888
2.721,-1.3963963963964,-7.88288288288288
2.722,-1.39139139139139,-7.88688688688689
2.723,-1.38638638638639,-7.89089089089089
2.724,-1.38138138138138,-7.89489489489489
2.725,-1.37637637637638,-7.8988988988989
2.726,-1.37137137137137,-7.9029029029029
2.727,-1.36636636636637,-7.90690690690691
2.728,-1.36136136136136,-7.91091091091091
2.729,-1.35635635635636,-7.91491491491491
2.73,-1.35135135135135,-7.91891891891892
2.731,-1.34634634634635,-7.92292292292292
2.732,-1.34134134134134,-7.92692692692693
2.733,-1.33633633633634,-7.93093093093093
2.734,-1.33133133133133,-7.93493493493493
2.735,-1.32632632632633,-7.93893893893894
2.736,-1.32132132132132,-7.94294294294294
2.737,-1.31631631631632,-7.94694694694695
2.738,-1.31131131131131,-7.95095095095095
2.739,-1.30630630630631,-7.95495495495495
2.74,-1.3013013013013,-7.95895895895896
2.741,-1.2962962962963,-7.96296296296296
2.742,-1.29129129129129,-7.96696696696697
2.743,-1.28628628628629,-7.97097097097097
2.744,-1.28128128128128,-7.97497497497497
2.745,-1.27627627627628,-7.97897897897898
2.746,-1.27127127127127,-7.98298298298298
2.747,-1.26626626626627,-7.98698698698699
2.748,-1.26126126126126,-7.99099099099099
2.749,-1.25625625625626,-7.99499499499499
2.75,-1.25125125125125,-7.998998998999
2.751,-1.24624624624625,-8.003003003003
2.752,-1.24124124124124,-8.00700700700701
2.753,-1.23623623623624,-8.01101101101101
2.754,-1.23123123123123,-8.01501501501502
2.755,-1.22622622622623,-8.01901901901902
2.756,-1.22122122122122,-8.02302302302302
2.757,-1.21621621621622,-8.02702702702703
2.758,-1.21121121121121,-8.03103103103103
2.759,-1.20620620620621,-8.03503503503504
2.76,-1.2012012012012,-8.03903903903904
2.761,-1.1961961961962,-8.04304304304304
2.762,-1.19119119119119,-8.04704704704705
2.763,-1.18618618618619,-8.05105105105105
2.764,-1.18118118118118,-8.05505505505506
2.765,-1.17617617617618,-8.05905905905906
2.766,-1.17117117117117,-8.06306306306306
2.767,-1.16616616616617,-8.06706706706707
2.768,-1.16116116116116,-8.07107107107107
2.769,-1.15615615615616,-8.07507507507508
2.77,-1.15115115115115,-8.07907907907908
2.771,-1.14614614614615,-8.08308308308308
2.772,-1.14114114114114,-8.08708708708709
2.773,-1.13613613613614,-8.09109109109109
2.774,-1.13113113113113,-8.0950950950951
2.775,-1.12612612612613,-8.0990990990991
2.776,-1.12112112112112,-8.1031031031031
2.777,-1.11611611611612,-8.10710710710711
2.778,-1.11111111111111,-8.11111111111111
2.779,-1.10610610610611,-8.11511511511512
2.78,-1.1011011011011,-8.11911911911912
2.781,-1.0960960960961,-8.12312312312312
2.782,-1.09109109109109,-8.12712712712713
2.783,-1.08608608608609,-8.13113113113113
2.784,-1.08108108108108,-8.13513513513514
2.785,-1.07607607607608,-8.13913913913914
2.786,-1.07107107107107,-8.14314314314314
2.787,-1.06606606606607,-8.14714714714715
2.788,-1.06106106106106,-8.15115115115115
2.789,-1.05605605605606,-8.15515515515516
2.79,-1.05105105105105,-8.15915915915916
2.791,-1.04604604604605,-8.16316316316316
2.792,-1.04104104104104,-8.16716716716717
2.793,-1.03603603603604,-8.17117117117117
2.794,-1.03103103103103,-8.17517517517518
2.795,-1.02602602602603,-8.17917917917918
2.796,-1.02102102102102,-8.18318318318318
2.797,-1.01601601601602,-8.18718718718719
2.798,-1.01101101101101,-8.19119119119119
2.799,-1.00600600600601,-8.1951951951952
2.8,-1.001001001001,-8.1991991991992
2.801,-0.995995995995996,-8.2032032032032
2.802,-0.990990990990991,-8.20720720720721
2.803,-0.985985985985986,-8.21121121121121
2.804,-0.980980980980981,-8.21521521521522
2.805,-0.975975975975976,-8.21921921921922
2.806,-0.970970970970971,-8.22322322322322
2.807,-0.965965965965966,-8.22722722722723
2.808,-0.960960960960961,-8.23123123123123
2.809,-0.955955955955956,-8.23523523523524
2.81,-0.950950950950951,-8.23923923923924
2.811,-0.945945945945946,-8.24324324324324
2.812,-0.940940940940941,-8.24724724724725
2.813,-0.935935935935936,-8.25125125125125
2.814,-0.930930930930931,-8.25525525525526
2.815,-0.925925925925926,-8.25925925925926
2.816,-0.920920920920921,-8.26326326326326
2.817,-0.915915915915916,-8.26726726726727
2.818,-0.910910910910911,-8.27127127127127
2.819,-0.905905905905906,-8.27527527527528
2.82,-0.900900900900901,-8.27927927927928
2.821,-0.895895895895896,-8.28328328328328
2.822,-0.890890890890891,-8.28728728728729
2.823,-0.885885885885886,-8.29129129129129
2.824,-0.880880880880881,-8.2952952952953
2.825,-0.875875875875876,-8.2992992992993
2.826,-0.870870870870871,-8.3033033033033
2.827,-0.865865865865866,-8.30730730730731
2.828,-0.860860860860861,-8.31131131131131
2.829,-0.855855855855856,-8.31531531531532
2.83,-0.850850850850851,-8.31931931931932
2.831,-0.845845845845846,-8.32332332332332
2.832,-0.840840840840841,-8.32732732732733
2.833,-0.835835835835836,-8.33133133133133
2.834,-0.830830830830831,-8.33533533533534
2.835,-0.825825825825826,-8.33933933933934
2.836,-0.820820820820821,-8.34334334334334
2.837,-0.815815815815816,-8.34734734734735
2.838,-0.810810810810811,-8.35135135135135
2.839,-0.805805805805806,-8.35535535535536
2.84,-0.800800800800801,-8.35935935935936
2.841,-0.795795795795796,-8.36336336336336
